# x_hat,full-stokes min,full-stokes max,full-stokes mean,higher-order min,higher-order max,higher-order mean
4.899999999999999911e-01,1.598166426254350192e+01,1.599229300304635792e+01,1.598979272885893543e+01,4.150576055735363035e+00,1.629714116277649438e+01,1.212716953196341052e+01
5.000000000000000000e-01,1.598172427695137543e+01,1.599240000383072058e+01,1.598989855454319908e+01,4.150609017570810799e+00,1.629957607832474764e+01,1.212791725846801327e+01
5.100000000000000089e-01,1.598190428932121243e+01,1.599256400607203332e+01,1.599005732181218775e+01,4.150639251171463151e+00,1.630206080159405957e+01,1.212871135158707858e+01
5.200000000000000178e-01,1.598208430169445471e+01,1.599272800708567210e+01,1.599022951306080031e+01,4.150657652997654878e+00,1.630452048544610832e+01,1.212958286876876102e+01
5.300000000000000266e-01,1.598226431407110226e+01,1.599293801197669929e+01,1.599043042404295001e+01,4.150677475960265816e+00,1.630704923201998469e+01,1.213028526042084287e+01
5.400000000000000355e-01,1.598244432645115509e+01,1.599318401641266973e+01,1.599065475471055642e+01,4.150696600597770569e+00,1.630963211145441960e+01,1.213084899707815723e+01
5.500000000000000444e-01,1.598262433883461142e+01,1.599341501778902774e+01,1.599089505979841874e+01,4.150715000616335359e+00,1.631219012090703657e+01,1.213143844348106803e+01
5.600000000000000533e-01,1.598292434785682126e+01,1.599374300937090077e+01,1.599119492322440905e+01,4.150731582651732587e+00,1.631477305265782007e+01,1.213176494627070134e+01
5.700000000000000622e-01,1.598322435688139009e+01,1.599407099887529249e+01,1.599150373752359755e+01,4.150743741362055594e+00,1.631735600109067263e+01,1.213212472705601996e+01
5.799999999999999600e-01,1.598352436590832149e+01,1.599442699420496439e+01,1.599183897318071601e+01,4.150758919529474511e+00,1.631993905454041283e+01,1.213268184384717330e+01
5.899999999999999689e-01,1.598382437493761365e+01,1.599479599860893764e+01,1.599218646417982015e+01,4.150778329820159485e+00,1.632252199020025074e+01,1.213323300028680052e+01
5.999999999999999778e-01,1.598412438396926483e+01,1.599517500368034106e+01,1.599254802897512739e+01,4.150791864122647112e+00,1.632507500604313222e+01,1.213388051607628348e+01
6.099999999999999867e-01,1.598446438969269856e+01,1.599558500979764375e+01,1.599293430169755048e+01,4.150802218423426559e+00,1.632753511552679626e+01,1.213485322055098692e+01
6.199999999999999956e-01,1.598480439541756937e+01,1.599597801097892003e+01,1.599331735098870055e+01,4.150809777179726545e+00,1.632999521889103178e+01,1.213574575357011298e+01
6.300000000000000044e-01,1.598514440114387547e+01,1.599638001321326541e+01,1.599370857612705699e+01,4.150819282073449301e+00,1.633225728751397199e+01,1.213647286388973257e+01
6.400000000000000133e-01,1.598548440687162220e+01,1.599679001836491032e+01,1.599410166040423498e+01,4.150826926966571406e+00,1.633447146258961880e+01,1.213731286919256824e+01
6.500000000000000222e-01,1.598582441260080245e+01,1.599718501610950305e+01,1.599447989484015054e+01,4.150829880981058650e+00,1.633653566432035475e+01,1.213775907970111056e+01
6.600000000000000311e-01,1.598612441559676078e+01,1.599755400583769216e+01,1.599483400624616181e+01,4.150830134527507376e+00,1.633833996412164424e+01,1.213760581744515932e+01
6.700000000000000400e-01,1.598642441859355223e+01,1.599792299241625315e+01,1.599518298518394843e+01,4.150832240591681099e+00,1.634012213221369336e+01,1.213749439891865478e+01
6.800000000000000488e-01,1.598672442159117857e+01,1.599821599451430387e+01,1.599549195827487935e+01,4.150830941453595102e+00,1.634148005161149442e+01,1.213666609168983967e+01
6.900000000000000577e-01,1.598702442458964157e+01,1.599850299766757011e+01,1.599579068843052099e+01,4.150831131911694172e+00,1.634283407770492147e+01,1.213540519239382576e+01
7.000000000000000666e-01,1.598732442758893946e+01,1.599875000073924092e+01,1.599605551773412060e+01,4.150831359948188748e+00,1.634394858036280951e+01,1.213405238862782021e+01
