# y_hat,full-stokes min,full-stokes max,full-stokes mean,full-stokes std,higher-order min,higher-order max,higher-order mean,higher-order std
3.800000000000000044e-01,2.578446053629158996e+01,2.602778000000000347e+01,2.590612026814579849e+01,1.216597318542067541e-01,2.583187999999999818e+01,3.245000000000000284e+01,2.823319894912782502e+01,2.731979654725780637e+00
3.900000000000000133e-01,2.836123367537143736e+01,2.849454000000000065e+01,2.842788683768571900e+01,6.665316231428164429e-02,2.840303999999999718e+01,3.568999999999999773e+01,3.103852978508452765e+01,2.936404316444234830e+00
4.000000000000000222e-01,3.080329248971864331e+01,3.096130000000000138e+01,3.088229624485932234e+01,7.900375514067903282e-02,3.097419999999999973e+01,3.868999999999999773e+01,3.378221101769702273e+01,3.059304959933720536e+00
4.100000000000000311e-01,3.266918000000000433e+01,3.285592354380625579e+01,3.276255177190313361e+01,9.337177190312573316e-02,3.281892000000000564e+01,4.132999999999999829e+01,3.601097901669801615e+01,3.425287505521008580e+00
4.199999999999999845e-01,3.437706000000000017e+01,3.449148512959556712e+01,3.443427256479778009e+01,5.721256479778347170e-02,3.466363999999999379e+01,4.346000000000000085e+01,3.792329138577942160e+01,3.473573283051226035e+00
4.299999999999999933e-01,3.537738000000000227e+01,3.565703508647773390e+01,3.551720754323886808e+01,1.398275432388658146e-01,3.579300000000000637e+01,4.493999999999999773e+01,3.934554729815946672e+01,3.550874185776069059e+00
4.400000000000000022e-01,3.567014000000000351e+01,3.626450367417346143e+01,3.596732183708672892e+01,2.971818370867289616e-01,3.620700000000000074e+01,4.563000000000000256e+01,4.032069952635003318e+01,3.445265672841163251e+00
4.500000000000000111e-01,3.596289999999999765e+01,3.600578450861264912e+01,3.598434225430632694e+01,2.144225430632573648e-02,3.662100000000000222e+01,4.542000000000000171e+01,4.061629071241434730e+01,3.128143402649081750e+00
4.600000000000000200e-01,3.439273999999999631e+01,3.497210602357772302e+01,3.468242301178885612e+01,2.896830117888633538e-01,3.509759999999999991e+01,4.425000000000000000e+01,3.964813737503265401e+01,3.326244797277692289e+00
4.700000000000000289e-01,3.282257999999999498e+01,3.319277535070830254e+01,3.300767767535414521e+01,1.850976753541537789e-01,3.357419999999999760e+01,4.205999999999998806e+01,3.779943310373941756e+01,3.149538017168071136e+00
4.799999999999999822e-01,3.034830000000000183e+01,3.066844526600721821e+01,3.050837263300361002e+01,1.600726330036081890e-01,3.108795999999999893e+01,3.888000000000000256e+01,3.549863546677914172e+01,2.942680939952851737e+00
4.899999999999999911e-01,2.696990000000000265e+01,2.743390146932454599e+01,2.720190073466227432e+01,2.320007346622716682e-01,2.763888000000000034e+01,3.602367707836388888e+01,3.238290030657760354e+01,3.008380430714229448e+00
5.000000000000000000e-01,2.357047080000004158e+01,2.359149999999999991e+01,2.358098540000002075e+01,1.051459999997916839e-02,2.418980000000000175e+01,3.207656849999999338e+01,2.884595352004529900e+01,2.925291151600757811e+00
5.100000000000000089e-01,1.908366000000000184e+01,1.914976644163759900e+01,1.911671322081880220e+01,3.305322081879857876e-02,1.950552000000000064e+01,2.812955508165702412e+01,2.406031432451653274e+01,3.077963523937539581e+00
5.200000000000000178e-01,1.446032557605023783e+01,1.457582000000000022e+01,1.451807278802511902e+01,5.774721197488119628e-02,1.482123999999999953e+01,2.318193230548497397e+01,1.899847698421043418e+01,3.024227511175640259e+00
5.300000000000000266e-01,9.687951332043887476e+00,1.003613480000000102e+01,9.862043066021943361e+00,1.740917339780567730e-01,1.009115680000000026e+01,1.784121371340716777e+01,1.372913947556266123e+01,3.003862573502159794e+00
5.400000000000000355e-01,4.996162254567590111e+00,5.464604400000000695e+00,5.230383327283795403e+00,2.342210727162052919e-01,5.315270400000000173e+00,1.246201717089919825e+01,8.460980782270471678e+00,3.044363411120942331e+00
5.500000000000000444e-01,5.194893803697443468e-01,8.930740000000000345e-01,7.062816901848721907e-01,1.867923098151278438e-01,5.393839999999999746e-01,7.000000000000000000e+00,3.317962360688279322e+00,2.966550783056685070e+00
