# x_hat,full-stokes min,full-stokes max,full-stokes mean,higher-order min,higher-order max,higher-order mean
4.000000000000000222e-01,1.321401227121938327e+01,1.383182046760421002e+01,1.364489703855476499e+01,1.236939614991774761e+01,1.472024541235641237e+01,1.343452144085386024e+01
4.100000000000000311e-01,1.408081828884805908e+01,1.493052394972539432e+01,1.476070774419864939e+01,1.346775634757034013e+01,1.612684106630241132e+01,1.458133678948919076e+01
4.199999999999999845e-01,1.502979464131003340e+01,1.610488250074074656e+01,1.590852081039184007e+01,1.462081680687423280e+01,1.753185687699838269e+01,1.575776120128220370e+01
4.299999999999999933e-01,1.614311166273807530e+01,1.729669976886859573e+01,1.708765074854858312e+01,1.581657645631316633e+01,1.893529112530356784e+01,1.696753698568474533e+01
4.400000000000000022e-01,1.725642869054002659e+01,1.848858280740925508e+01,1.827654883622258453e+01,1.685151715110193749e+01,2.004282992119625817e+01,1.816579833380002285e+01
4.500000000000000111e-01,1.836974572355698498e+01,1.968366926575709641e+01,1.947282740354454944e+01,1.786803611983966178e+01,2.115036938211718720e+01,1.937066240317171406e+01
4.600000000000000200e-01,1.948306276089497047e+01,2.088784552740104061e+01,2.066161120223693004e+01,1.878986492319181778e+01,2.225783710291726436e+01,2.056304602506176948e+01
4.700000000000000289e-01,2.059637980185325290e+01,2.210072723070411982e+01,2.184109963512831953e+01,1.970322855290310926e+01,2.336530815118860005e+01,2.174680743274770833e+01
4.799999999999999822e-01,2.170969684587487336e+01,2.329766255724788238e+01,2.300206338207332379e+01,2.056070613186486185e+01,2.474869250193948744e+01,2.293041698929035022e+01
4.899999999999999911e-01,2.282301389251154689e+01,2.442132323267691874e+01,2.413715786138062214e+01,2.134676564226373685e+01,2.612869075471549962e+01,2.408565736182243455e+01
5.000000000000000000e-01,2.393633094139837425e+01,2.551280081652588194e+01,2.525679846209203205e+01,2.212885079598679638e+01,2.750530721515395172e+01,2.523176852560435179e+01
5.100000000000000089e-01,2.487836074358644112e+01,2.657917701101900221e+01,2.630540195647492752e+01,2.281606128298983904e+01,2.886187628650947090e+01,2.634063697696065631e+01
5.200000000000000178e-01,2.582039060467176483e+01,2.765491472579196497e+01,2.734877434480547009e+01,2.350667261240178618e+01,3.022186685350710178e+01,2.744033561098729024e+01
5.300000000000000266e-01,2.676242051843483694e+01,2.870709502734513308e+01,2.837271044646457341e+01,2.417173021600209282e+01,3.158526753092333905e+01,2.852672843810848846e+01
5.400000000000000355e-01,2.770445047950208917e+01,2.974180023682861673e+01,2.938015416468991248e+01,2.481679169335914281e+01,3.262283345296665260e+01,2.957252725688461581e+01
5.500000000000000444e-01,2.864648048320676210e+01,3.072383044581984635e+01,3.036812367314955097e+01,2.545658488241062400e+01,3.366040440933532096e+01,3.060043270026620377e+01
5.600000000000000533e-01,2.958851052547642979e+01,3.163844680548378818e+01,3.130281690182441068e+01,2.608103917999812538e+01,3.469529263819517695e+01,3.160126812105079352e+01
5.700000000000000622e-01,3.053054060274128645e+01,3.254400310963929854e+01,3.221521253438611154e+01,2.670466248554959421e+01,3.573020151076678275e+01,3.258129005332096284e+01
5.799999999999999600e-01,3.147257071185891064e+01,3.343609234456587131e+01,3.309075494378242865e+01,2.730360791024718381e+01,3.693343501791056838e+01,3.355139182030492151e+01
5.899999999999999689e-01,3.217875050632617473e+01,3.429968175513182871e+01,3.390286586931884472e+01,2.789257960028385597e+01,3.813841377870290472e+01,3.447598927579948480e+01
5.999999999999999778e-01,3.276700513535377723e+01,3.507885299745770880e+01,3.466497708122489030e+01,2.846372291015669376e+01,3.934511469039072296e+01,3.537084127403026912e+01
6.099999999999999867e-01,3.335525976438140106e+01,3.585745673127895117e+01,3.535096125403702416e+01,2.897959499630812630e+01,4.032849729960743446e+01,3.617508832199864344e+01
6.199999999999999956e-01,3.394351439340904619e+01,3.653529622145622824e+01,3.601544464588020134e+01,2.949588473726477034e+01,4.131180437303066810e+01,3.695729814823505421e+01
6.300000000000000044e-01,3.453176902243671265e+01,3.717974558794347217e+01,3.662659979040913782e+01,2.992747028677542787e+01,4.229505792642918749e+01,3.767650680411727393e+01
6.400000000000000133e-01,3.512002365146440042e+01,3.778819295494500352e+01,3.720564308219783101e+01,3.033751832088233868e+01,4.307673209102974710e+01,3.829447066010745004e+01
6.500000000000000222e-01,3.570827828049210240e+01,3.832806408074064564e+01,3.773997627855937509e+01,3.070434427374600972e+01,4.398214992611555374e+01,3.884810684606147646e+01
6.600000000000000311e-01,3.629653290951982569e+01,3.878815437028220714e+01,3.818128854570753816e+01,3.099626443023419142e+01,4.475264569733835174e+01,3.932530821897436368e+01
6.700000000000000400e-01,3.671092911378834600e+01,3.918143934414208474e+01,3.857338035579814317e+01,3.128830092933866425e+01,4.552246960742527193e+01,3.976842208290359082e+01
6.800000000000000488e-01,3.677760852160196947e+01,3.953902639891342119e+01,3.886079700820846483e+01,3.147787726130331976e+01,4.607577676721381721e+01,4.012951403931955241e+01
6.900000000000000577e-01,3.684428799309356606e+01,3.986379427336400738e+01,3.912417980615562385e+01,3.165947215200737475e+01,4.661292552873496930e+01,4.043919603357755932e+01
7.000000000000000666e-01,3.691096752791806068e+01,4.014610638923492303e+01,3.934159952843699415e+01,3.179716617579155979e+01,4.704029574243527634e+01,4.068925073714792973e+01
7.099999999999999645e-01,3.697764712573280832e+01,4.031684216678932131e+01,3.948280722685954913e+01,3.188876236547405796e+01,4.735239507921799884e+01,4.084173028054583909e+01
7.199999999999999734e-01,3.704432678619769348e+01,4.045524907025939143e+01,3.960047357854167416e+01,3.197766929339117326e+01,4.765533722312642340e+01,4.097723831199077438e+01
7.299999999999999822e-01,3.711100650897498099e+01,4.056431236722638545e+01,3.967750795264925756e+01,3.200460533652883299e+01,4.777235396596925199e+01,4.105548197548721134e+01
7.399999999999999911e-01,3.717768629372941547e+01,4.064616574165941643e+01,3.974150398358282388e+01,3.203194553748416951e+01,4.788995296274885050e+01,4.111170114310083079e+01
7.500000000000000000e-01,3.724436614012810765e+01,4.067519999999999669e+01,3.977278864085990762e+01,3.203234943116815003e+01,4.790619858337026926e+01,4.112287637382549832e+01
