x,y,z mean,z stdev,z min,z max,vs_x stdev,vs_x min,vs_x max,vs_y mean,vs_y stdev,vs_y min,vs_y max,vs_z mean,vs_z stdev,vs_z min,vs_z max
-45.000000,-2.500000,-3.906242,1.772954,-5.760000,-1.058982,147.650936,49.757362,97.724737,197.730907,0.089043,0.051703,0.040000,0.171057,-0.027390,0.074213,-0.155853,0.019444
-45.000000,0.000000,-3.957080,1.778844,-5.830000,-1.113000,147.626822,49.752316,97.706520,197.697568,0.000166,0.000167,0.000000,0.000357,-0.027797,0.073759,-0.155435,0.019748
-45.000000,2.500000,-3.905739,1.773300,-5.760000,-1.057819,147.651094,49.757404,97.724969,197.731307,-0.089339,0.051959,-0.171659,-0.040000,-0.027381,0.074196,-0.155813,0.019440
-45.000000,5.000000,-3.796526,1.793702,-5.690000,-0.896756,147.700800,49.770329,97.778784,197.831416,-0.174674,0.099716,-0.333154,-0.080000,-0.027299,0.074876,-0.156948,0.018551
-45.000000,7.500000,-3.587370,1.807469,-5.500000,-0.643120,147.785825,49.785506,97.863668,197.986482,-0.250078,0.141577,-0.475751,-0.120000,-0.028060,0.075566,-0.158862,0.018250
-45.000000,10.000000,-3.330711,1.850878,-5.310000,-0.301065,147.889856,49.806227,97.975742,198.190380,-0.315885,0.173234,-0.593508,-0.160000,-0.028981,0.076347,-0.161029,0.020600
-45.000000,12.500000,-3.006911,1.891503,-5.020000,0.100993,148.017359,49.828789,98.106395,198.429440,-0.367394,0.194519,-0.681137,-0.200000,-0.030773,0.076757,-0.163567,0.018750
-45.000000,15.000000,-2.660885,1.954238,-4.730000,0.542517,148.152286,49.853375,98.248141,198.687104,-0.406822,0.203309,-0.737991,-0.240000,-0.032640,0.077260,-0.166334,0.016900
-45.000000,17.500000,-2.268161,2.016966,-4.385000,1.017078,148.306461,49.889160,98.395893,198.955751,-0.430427,0.203081,-0.763904,-0.250000,-0.033596,0.078073,-0.168651,0.017700
-45.000000,20.000000,-1.874560,2.087258,-4.040000,1.491736,148.458860,49.924418,98.534700,199.219690,-0.443136,0.192591,-0.761768,-0.260000,-0.034499,0.078906,-0.170935,0.018500
-45.000000,22.500000,-1.469723,2.144887,-3.680000,1.951349,148.603153,49.955231,98.624850,199.468494,-0.436735,0.180463,-0.736166,-0.260000,-0.035429,0.079596,-0.173014,0.018700
-45.000000,25.000000,-1.075235,2.199612,-3.320000,2.394986,148.740558,49.984202,98.715000,199.699893,-0.422837,0.161701,-0.691656,-0.260000,-0.036096,0.079995,-0.174323,0.018900
-45.000000,27.500000,-0.715174,2.252543,-2.990000,2.799471,148.868212,50.015185,98.795150,199.905845,-0.397641,0.143918,-0.634018,-0.245000,-0.037933,0.079593,-0.175602,0.014700
-45.000000,30.000000,-0.376027,2.291440,-2.660000,3.167163,148.985295,50.042731,98.875300,200.084038,-0.368347,0.124145,-0.565463,-0.230000,-0.039538,0.078974,-0.176238,0.010500
-45.000000,32.500000,-0.063805,2.313452,-2.370000,3.486614,149.094705,50.077420,98.940450,200.236938,-0.333769,0.107412,-0.493116,-0.210000,-0.039667,0.079250,-0.176757,0.012550
-45.000000,35.000000,0.223163,2.315184,-2.080000,3.760535,149.193261,50.108407,99.005600,200.361044,-0.298360,0.093810,-0.418075,-0.190000,-0.039710,0.079509,-0.177128,0.014600
-45.000000,37.500000,0.459361,2.321424,-1.860000,3.991204,149.258790,50.121169,99.055550,200.461933,-0.250857,0.077576,-0.344359,-0.165000,-0.039605,0.079465,-0.177074,0.012500
-45.000000,40.000000,0.670135,2.305931,-1.640000,4.173816,149.315541,50.131328,99.105500,200.540309,-0.203831,0.061814,-0.271007,-0.140000,-0.039522,0.079542,-0.177193,0.010400
-45.000000,42.500000,0.814719,2.307712,-1.490000,4.312979,149.366848,50.148610,99.140700,200.597591,-0.157640,0.049878,-0.215000,-0.106173,-0.040475,0.078919,-0.177078,0.009600
