x,y,z mean,z stdev,z min,z max,vs_x stdev,vs_x min,vs_x max,vs_y mean,vs_y stdev,vs_y min,vs_y max,vs_z mean,vs_z stdev,vs_z min,vs_z max
-47.500000,-32.500000,-1.629054,0.227400,-1.856454,-1.401654,149.655988,50.101855,99.554133,199.757843,0.390505,0.112232,0.278274,0.502737,-0.007845,0.002555,-0.010400,-0.005289
-47.500000,-30.000000,-2.004133,0.247926,-2.252060,-1.756207,149.535757,50.088634,99.447123,199.624391,0.446199,0.124372,0.321827,0.570571,-0.007457,0.003642,-0.011099,-0.003815
-47.500000,-27.500000,-2.429521,0.276026,-2.705547,-2.153494,149.396706,50.073922,99.322784,199.470629,0.498194,0.134531,0.363663,0.632725,-0.006773,0.004892,-0.011665,-0.001881
-47.500000,-25.000000,-2.902300,0.310662,-3.212962,-2.591638,149.237445,50.057207,99.180238,199.294652,0.541198,0.141494,0.399704,0.682692,-0.005728,0.006303,-0.012031,0.000575
-47.500000,-22.500000,-3.408115,0.351876,-3.759991,-3.056239,149.063179,50.039239,99.023941,199.102418,0.573409,0.145276,0.428133,0.718685,-0.004350,0.007843,-0.012193,0.003493
-47.500000,-20.000000,-3.943097,0.401234,-4.344331,-3.541863,148.875057,50.020526,98.854531,198.895583,0.590229,0.145108,0.445121,0.735338,-0.002603,0.009471,-0.012074,0.006868
-47.500000,-17.500000,-4.485086,0.454624,-4.939709,-4.030462,148.680540,50.001438,98.679102,198.681977,0.589331,0.140826,0.448505,0.730157,-0.000581,0.011150,-0.011731,0.010568
-47.500000,-15.000000,-5.017076,0.510270,-5.527346,-4.506807,148.485769,49.982732,98.503038,198.468501,0.565946,0.131725,0.434221,0.697671,0.001656,0.012811,-0.011155,0.014466
-47.500000,-12.500000,-5.523018,0.566392,-6.089410,-4.956627,148.297910,49.965164,98.332745,198.263074,0.520427,0.118316,0.402111,0.638743,0.003976,0.014387,-0.010411,0.018363
-47.500000,-10.000000,-5.976215,0.618547,-6.594762,-5.357668,148.127169,49.949372,98.177797,198.076540,0.452069,0.100681,0.351388,0.552750,0.006207,0.015821,-0.009613,0.022028
-47.500000,-7.500000,-6.354540,0.664007,-7.018547,-5.690533,147.983146,49.936287,98.046859,197.919432,0.361141,0.079157,0.281984,0.440298,0.008185,0.017015,-0.008830,0.025199
-47.500000,-5.000000,-6.641658,0.699380,-7.341038,-5.942278,147.873037,49.926405,97.946631,197.799442,0.251374,0.054558,0.196817,0.305932,0.009733,0.017932,-0.008199,0.027665
-47.500000,-2.500000,-6.819327,0.720990,-7.540317,-6.098336,147.804329,49.920123,97.884206,197.724452,0.128802,0.027906,0.100895,0.156708,0.010760,0.018467,-0.007708,0.029227
-47.500000,0.000000,-6.879330,0.727239,-7.606569,-6.152092,147.780705,49.917788,97.862917,197.698494,-0.000243,0.000204,-0.000447,-0.000039,0.010986,0.018783,-0.007797,0.029769
-47.500000,2.500000,-6.817260,0.719513,-7.536772,-6.097747,147.805119,49.919661,97.885458,197.724779,-0.129724,0.027742,-0.157466,-0.101982,0.010731,0.018493,-0.007762,0.029223
-47.500000,5.000000,-6.640132,0.697946,-7.338078,-5.942186,147.873730,49.925836,97.947894,197.799565,-0.251620,0.054394,-0.306014,-0.197226,0.009673,0.017993,-0.008320,0.027666
